modbit = 0, write target 1, read target 0
modbit = 0, write target 2, read target 0
modbit = 0, write target 2, read target 0
modbit = 1, write target 1, read target 2
modbit = 0, write target 1, read target 2
modbit = 1, write target 2, read target 1
modbit = 0, write target 2, read target 1
modbit = 1, write target 1, read target 2
modbit = 0, write target 1, read target 0
modbit = 1, write target 2, read target 1
modbit = 1, write target 2, read target 1
modbit = 1, write target 2, read target 1
modbit = 1, write target 2, read target 1
modbit = 1, write target 2, read target 1
modbit = 1, write target 2, read target 1
modbit = 1, write target 2, read target 1
modbit = 1, write target 2, read target 1
modbit = 1, write target 2, read target 1
